Article Number,Dates,Fatality Range,Countries
472," March,  Last,  this,  44,  months,  August,  months,  August,  the,  month,  2020,  year,  summer,  previous",[ 1 to .5 million]," Washington,  D, .C.,"
473," 80,  Sept,  80,  the,  19th,  1980,  just,  year,  1880, 19,  the,  of,  20th,  those,  early,  10, . 25,  late,  century,  this, -, 17,  turn,  the,  century,  heady,  years,  years",[ 4 to 71]," Te,  N,  London,  Boston,  Chicago, aneck, .J."
474," Thursday,  Thursday,  Less,  a,  ago,  A,  Thursday,  February,  the,  month,  Thursday,  than,  week,  day,  past",[ 30 to 72]," Russia,  Ukraine,  Z,  Z,  Ukraine,  Russia,  Ukraine,  Russia,  Ukraine, aporizhzhia, aporizhzhia, hzhia"
475," Thursday,  5, old,  2, old,  5, old,  2, old,  42, -year-, -year-, -year-, -year-",[ 10 to 73]," Bronx,  Bronx,  Bronx,  Bronx, a, chester, hurst"
476," the,  of,  year,  Thursday,  Jan., ,, ,,  2020,  20,  November,  December,  end,  the,  6,  2021, 26",[ 4 to 74]," W,  Nebraska,  Florida,  America,  Nebraska, ASHINGTON"
477," 2020,  this,  41,  38,  over,  decade,  Friday,  17,  many,  game,  the,  season,  a,  2022, th season,  years,  days,  days",[ 145 to .71]," ST,  St., . LOUIS,  Louis"
478," Thursday,  this,  year",[ 10 to 76],N/A
479," Thursday,  just,  months,  June,  June,  more,  a,  three, business,  June,  three,  earlier,  than,  century, -, -day",[ 4 to 77]," New,  New,  New,  New,  New,  York, wich,  York,  York,  York,  York"
480," Oct,  1972,  a,  Fifty,  later,  the,  half,  Nov,  1960,  2006, . 22,  year,  years,  last, -century, . 5",[ 113 to 78]," Manhattan,  Manhattan,  Brazil,  New, th,  York"
481," October,  Friday,  99,  March,  next,  Each,  season,  2012,  2021, -day,  spring,  full,  through, im, -",[ 12 to three]," ST,  San,  St.,  Philadelphia,  Cleveland,  Tampa,  Toronto,  Seattle, . LOUIS,  Diego,  Louis,  Bay"
482," ',  30,  2020,  the,  year,  2021,  three,  Thursday,  2021,  2020,  last,  2021,  one,  to 2021,  two,  2020,  2021,  a,  week, 21,  Years,  first,  decades,  year,  year,  2019, -year,  single",[ 1 to .2 million]," the,  States,  United"
483," August,  the,  decade,  the,  decade,  March,  last,  past,  past,  month",[ 48 to fold]," BE,  Sur,  Pakistan,  China,  China,  Beijing,  China,  Russia,  Ukraine,  China,  Pakistan,  China,  Kenya,  Sur,  China,  China,  China,  Beijing,  China,  France,  Zamb, IJING, iname, y, iname, ia"
484," Tuesday,  recent,  September,  June,  weeks,  late,  weeks,  summer",[ 482 to one]," Wisconsin,  MAD,  Wis,  Madison,  Wisconsin,  Wisconsin,  Wisconsin,  Pennsylvania,  Nevada,  Georgia,  Wisconsin, ISON, ."
485," six,  2022,  Oct, ,,  years, os,  7,  2022",[ 48 to 3]," New,  N,  New,  York, .Y.,  York"
486," Friday,  the,  16,  old,  ', bles,  1990s,  years, 90s",[ 48 to ing]," Northern,  Northern, D,  L, L,  Northern,  the,  Kingdom,  Ireland,  Ireland, erry, ondonderry, ondonderry,  Ireland,  United, erry, um, ridgerton, ools"
487," this,  the,  of,  2021,  Thursday,  one,  Nov,  Dec,  the,  month,  September,  1996,  the,  year,  2020,  Thursday,  Monday,  year,  end,  June, emic,  week, . 23, . 23,  last,  pandemic,  of","[ 3,825 to ,700]"," the,  States,  United"
488," 1934,  this,  Oct.,  1936,  two,  1934,  1865,  the,  century,  season,  21,  years,  19th",[ 4 to 86]," L,  St.,  Cleveland,  New,  Philadelphia,  Buenos,  London,  Prague,  Stockholm,  Zurich,  Moscow,  Russia, M,  O,  Moscow,  Siberia, tsensk, eningrad,  Petersburg,  York,  Aires, tsensk, ryol, ka, ka"
489," Thursday,  November,  August,  the,  10,  the,  40,  today,  two,  the,  two,  today,  Tuesday,  next,  years,  last,  days,  next,  decades",[ 487 to  than]," P,  N,  New,  P,  N,  China,  South,  Japan,  India,  Germany,  the,  States,  Idaho,  New, ., ., oughkeepsie, .Y.,,  York, oughkeepsie, .Y,  Korea,  United,  York"
490,N/A,[ 4 to 88],"lar, gy"
491," Thursday,  Monday,  Thursday,  the,  day",[ 4 to 89]," W,  Ga,  Georgia,  Atlanta,  Georgia, ADLEY, ., .S."
492," November,  2020,  election, night,  just,  weeks,  Election,  Nov,  November,  2024,  2020,  2020,  Last,  November, -,  five,  Day, . 8, terms,  month","[ 130 to ,000]"," W,  Las,  N,  Ti,  Pa,  Nye,  Nev,  Lycoming,  Pa,  Williams, ASHINGTON,  Cruces, .M, oga County, .,,  County, .,,  County, .,, port"
493," Two,  2020,  that,  Thursday,  Jan, ,, ,,  December,  April,  days,  month, . 6,  2021",[ 49 to 1]," United,  W,  Washington,  West,  United,  Washington,  North,  States, ASHINGTON,  Virginia,  States,  Carolina"
494," this,  Wednesday,  2014,  this,  August,  several,  week,  week,  years",[ 49 to 2]," HAM,  Germany,  Ukraine,  Greece,  Russia,  Russia,  Cologne,  Germany,  Austria, BURG, ern, ern"
495," the,  the,  weekly,  the,  Monday,  89,  1990,  Between,  and,  every,  the,  day,  1987,  1983,  1986,  1981,  1980s,  '90s,  1980s,  1981,  1989,  Tuesday,  next, 's",[ 493 to  89]," Poland,  Kon, J,  Warsaw,  U.S, stancin-, eziorna, ."
496," last,  decades,  22, year, old,  several,  ago,  a,  days,  years,  1979,  decades,  1936,  1979,  month, -, -,  weeks,  few,  later",[ 49 to 4]," Iran,  Iran,  Iran,  the,  Republic,  Iran,  the,  Republic,  Iran,  the,  Republic,  Iran,  Islamic, 's,  Islamic,  Islamic, 's"
497, 1920,[ 4 to 95]," Vienna,  Vienna, land, land, pa, interland, interland, land"
498," more,  decade,  the,  three,  25, year, old,  Sunday,  the,  weeks,  22, year,  the,  more,  decade,  than,  past,  weeks, -, -,  three, -, -old,  day,  than",[ 4 to 96]," Iran,  Iran,  Tehran,  the,  Republic,  Iran,  Iran,  the,  Republic, ll, hbe,  Islamic, 's,  Islamic, 's"
499," more,  60,  later,  1959,  Thursday,  the,  next,  About,  year,  the,  2020,  The,  couple,  years,  2020,  than,  years,  decades,  summer,  a,  1980s,  last,  of",[ 49 to 7]," New,  Chicago,  New,  Chicago,  New,  City,  Toronto,  Hollywood,  Detroit,  Las,  Williams,  Brooklyn,  New,  New,  Chicago,  Hollywood,  New,  Manhattan,  New,  York,  York,  York,  Vegas, burg,  York,  York,  York,  Yorks, ys, s"
500," Sunday,  1974,  25, year, old,  12, -, -,  years",[ 4 to 98]," NEW,  Manhattan,  New,  New,  YORK,  Yorks,  York, ys"
501," months,  three,  ago,  earlier,  year,  months,  58, year, old,  June,  recent,  Four,  ago,  weeks,  this, -, -,  weeks,  days",[ 499 to  one]," ST,  Ukraine,  Kh,  Russia,  Iz,  Iz,  Ly,  Donetsk,  Ukraine,  Iz,  Iz, es, AVKY, arkiv province, ium, ium, man, ium, ium"
502," Halloween,  its 49,  Halloween,  annual,  Oct.,  Halloween,  Oct.,  Halloween,  annual, Oct., -,  Oct., -, th year,  Day,  22,  29,  22, 23,  29, 30",[ 500 to  thousands]," New,  NEW,  New,  City,  Greenwich,  Governors,  Governors,  Staten,  York,  YORK,  York,  Village, th, ers,  Island,  Island,  Island"
503," 2025, 19,  1946, 1961, 1956, 1970, 2007, 1991,  today, 1966, 1967, 20, 1963, 44, 22",[ one to 4]," Los,  Angeles"
